source	source.label	target	target.label	edge
Q4774594	Velvetbean Caterpillar (Anticarsia gemmatalis)	Q37383	Arachis hypogaea	Insect feeds on Foliage (LEAF INSECT)
	Fall armyworm (Laphygma frugiperda)	Q37383	Arachis hypogaea	Insect feeds on Foliage 
	Corn Earworm (Heliothis armigera (Hbn.)	Q37383	Arachis hypogaea	Insect feeds on Foliage 
	Potato Leafhopper (Empoasca fabae (Harr.)	Q37383	Arachis hypogaea	Insect feeds on juices from the leaf
	Empoasca facialis Jac.	Q37383	Arachis hypogaea	
	Empoasca solana DeLong	Q37383	Arachis hypogaea	
	Empoasca flavescens (F.)	Q37383	Arachis hypogaea	
	Tobacco Thrips (Frankliniella fusca (Hinds)	Q37383	Arachis hypogaea	
	F. tritici (Fitch)	Q37383	Arachis hypogaea	
	Heliothrips indicus	Q37383	Arachis hypogaea	
	Taeniothrips distalis Ky. 	Q37383	Arachis hypogaea	
	T. longistylus Ky.	Q37383	Arachis hypogaea	
	white fringed beetle (Pantomorus leucoloma (Boh.)	Q37383	Arachis hypogaea	Insect larvae feed on the underground parts/adults feed on the foliage (SOIL INSECT)
	southern corn rootworm (Diabrotica duodecimpimctata (F)	Q37383	Arachis hypogaea	feeds on young peanut pods
	banded cucumber beetle (D. balteata Lec)	Q37383	Arachis hypogaea	
	wireworms (Heteroderes sp.)	Q37383	Arachis hypogaea	
	white grubs (Strigoderma arboricola (F.)	Q37383	Arachis hypogaea	
	 lesser cornstalk borer (Elasmopalpus lignosellus (Zell.)	Q37383	Arachis hypogaea	
	Soil Fungi (Rhizoctonia)	Q37383	Arachis hypogaea	Soil Fungi
